bottom,top
10:41:47,
,10:43:36
,14:28:15
,14:46:11
,15:56:59
,16:11:58
,16:54:45
,16:58:45
,17:6:53
,21:23:28
,22:19:6
,22:23:19
,22:47:41
,23:0:17
,23:38:46
,2:5:17
,2:41:17
,3:16:30
,4:5:33
,4:12:58
,10:26:17
10:57:55,
,11:45:27
,13:35:55
,14:5:58
,14:30:27
,15:12:17
,15:23:52
,16:18:57
,21:30:20
,21:56:4
,22:49:19
,23:19:14
,23:39:39
,23:51:40
,0:11:57
,2:11:7
,2:27:39
,3:12:6
,3:37:15
,4:34:13
,4:47:41
,5:34:59
,8:36:17
,9:0:10
,11:46:44
13:8:43,
,14:45:9
,15:3:27
,17:0:30
,0:46:47
,3:48:35
,4:16:4
,4:45:3
,8:16:22
,8:36:46
,9:11:53
,9:29:54
,9:36:44
,11:26:3
,12:43:25
,13:15:47
,14:14:13
,14:40:25
